code,icao,ident,name,city,state,lat,lon,type,runways
DTW,KDTW,KDTW,Detroit Metropolitan Wayne County Airport,Detroit,MI,42.21377,-83.353786,large_airport,6.0
ANC,PANC,PANC,Ted Stevens Anchorage International Airport,Anchorage,AK,61.179004,-149.992561,large_airport,3.0
CLE,KCLE,KCLE,Cleveland Hopkins International Airport,Cleveland,OH,41.411701,-81.8498,large_airport,3.0
MEM,KMEM,KMEM,Frederick W. Smith International Airport,Memphis,TN,35.043845,-89.97634,large_airport,4.0
SNA,KSNA,KSNA,John Wayne Orange County International Airport,Santa Ana,CA,33.675063,-117.869281,large_airport,1.0
MDW,KMDW,KMDW,Chicago Midway International Airport,Chicago,IL,41.785999,-87.752403,large_airport,4.0
PSP,KPSP,KPSP,Palm Springs International Airport,Palm Springs,CA,33.8297,-116.507004,large_airport,2.0
MIA,KMIA,KMIA,Miami International Airport,Miami,FL,25.796011,-80.289751,large_airport,4.0
MCO,KMCO,KMCO,Orlando International Airport,Orlando,FL,28.429399490356445,-81.30899810791016,large_airport,4.0
SMF,KSMF,KSMF,Sacramento International Airport,Sacramento,CA,38.6954,-121.591003,large_airport,2.0
GEG,KGEG,KGEG,Spokane International Airport,Spokane,WA,47.6199,-117.533997,large_airport,2.0
ABQ,KABQ,KABQ,Albuquerque International Sunport,Albuquerque,NM,35.039976,-106.608925,large_airport,3.0
PVD,KPVD,KPVD,Rhode Island T. F. Green International Airport,Providence/Warwick,RI,41.725038,-71.425668,large_airport,2.0
SLC,KSLC,KSLC,Salt Lake City International Airport,Salt Lake City,UT,40.78886,-111.979866,large_airport,4.0
PWM,KPWM,KPWM,Portland International Jetport,Portland,ME,43.646198,-70.309303,large_airport,2.0
MCI,KMCI,KMCI,Kansas City International Airport,Kansas City,MO,39.301699,-94.713893,large_airport,3.0
SJC,KSJC,KSJC,Mineta San Jose International Airport,San Jose,CA,37.362452,-121.929188,large_airport,2.0
SRQ,KSRQ,KSRQ,Sarasota Bradenton International Airport,Sarasota/Bradenton,FL,27.394631,-82.554359,large_airport,2.0
MKE,KMKE,KMKE,General Mitchell International Airport,Milwaukee,WI,42.947201,-87.896599,large_airport,5.0
