airport,pax_2019
OGD,16449
KKA,3792
BLD,60281
MFE,415520
BNF,12
UTM,12
TLA,2735
NNL,554
PA5,51
NM2,351
STG,561
DRT,22439
GEK,0
PWM,1089427
KPR,41
HKB,183
BRO,129506
VZY,199
CLU,2
GUM,1328526
ALO,23520
MI2,17
NLC,7
VWK,249
SAC,79
JLN,48126
PAE,389933
BIS,312397
WQX,6
KZB,71
NTD,0
PQI,13234
MQT,59103
CFT,67
BMI,209494
HNM,1204
MWA,11053
SBN,418960
PMB,0
EWN,114204
PSC,439118
GMT,0
SJT,67125
GST,11207
LAR,19318
1TX,1
SYB,144
MDH,27
JZQ,7
BTL,3
BBD,0
KVL,5838
MCE,6846
VLD,44223
DLF,0
COD,41408
AGN,2675
VPS,813549
OVE,3
BED,8342
MYU,1878
SVC,5968
TUP,15256
A30,0
JLA,0
LAX,43381770
1NC,3
OOK,6133
TYE,1539
MIE,446
CNY,16514
AGS,333291
ME3,63
TCL,1726
BTP,4
II3,0
SPG,5
KOA,1929786
PAO,2
LAF,8763
TSM,222
RTN,4
PWA,22
NHZ,17
ENW,2
TWF,52623
BGM,38120
KSM,11315
ORV,6510
CKB,41791
DVL,9357
JZT,36
RIV,6593
PPG,76481
KKL,6
DWH,51
BCT,223
GFL,8
BCE,3
HTO,177
BDL,3341910
SKF,41
CLP,722
IAN,5725
RDM,483039
LPR,7
BDR,44
DSM,1443967
MRI,2827
BWD,0
DCK,246
BJC,300
DE2,9
WRG,50440
GA6,0
BTR,401676
FLL,18031280
SCE,193533
SRV,141
JZE,12
DCA,11633068
NV6,19
OLE,1
HWD,10
SUU,90
MTN,13
PPD,2
A01,2
IGM,136
BFK,2
TCT,98
LUP,1101
FYU,9506
SIG,16519
ROW,60548
AVP,290914
UST,21
OFU,891
DTT,1
NQA,0
DRF,0
JAC,443581
FDK,2
BID,16895
TYR,59989
TEB,7102
FCA,356316
RME,17
NJ9,3
SHG,3941
VJI,50
XXP,0
FLO,44006
KPC,13
CAE,653144
EAT,64614
IDA,177340
TKJ,225
UXR,851
AK7,2
DQS,7778
UMT,46
RBY,3520
BFL,129898
SCF,208
COU,129695
EAR,21309
SMK,5254
BOK,0
WWA,7
DLG,39822
PVC,10571
BPT,29056
FNT,303234
RSJ,19
IAG,122546
KNK,1796
MYL,14
LWM,18
MDD,19
IMT,22206
BQN,370029
SSI,33
LNK,166810
ASH,1
RIC,2199194
TAL,4070
TSP,0
ELM,156412
LIT,1108241
MBL,362
GUS,0
PUO,0
GA8,4
MLT,1
NUI,3514
WQZ,4
N1J,0
BKG,27561
XNA,893326
ERV,6
