airport,month,deps,pax,seats,dist_x_deps,dom_pax,freight_lbs
01A,2024-08-01,2,4,12,60.0,4.0,0
01A,2024-09-01,3,13,18,90.0,13.0,0
01A,2025-05-01,2,1,10,60.0,1.0,0
01A,2025-06-01,2,1,10,60.0,1.0,0
01A,2025-07-01,1,0,5,30.0,0.0,0
01A,2025-08-01,7,8,41,210.0,8.0,0
01A,2025-09-01,4,13,24,120.0,13.0,144
05A,2024-07-01,1,1,9,191.0,1.0,0
05K,2025-11-01,1,0,0,162.0,0.0,0
06A,2024-05-01,10,10,60,180.0,10.0,0
06A,2024-06-01,5,3,30,90.0,3.0,0
06A,2024-07-01,6,6,36,108.0,6.0,0
06A,2024-08-01,7,7,41,126.0,7.0,0
06A,2024-09-01,6,4,36,108.0,4.0,0
06A,2024-10-01,5,3,30,90.0,3.0,0
06A,2024-11-01,7,3,42,126.0,3.0,139
06A,2024-12-01,3,3,18,54.0,3.0,0
06A,2025-01-01,3,3,18,54.0,3.0,0
06A,2025-02-01,4,2,23,72.0,2.0,0
06A,2025-03-01,5,6,30,90.0,6.0,0
06A,2025-04-01,8,6,46,144.0,6.0,0
06A,2025-05-01,9,8,52,162.0,8.0,0
06A,2025-06-01,7,4,39,126.0,4.0,0
06A,2025-07-01,8,6,47,144.0,6.0,0
06A,2025-08-01,18,28,102,324.0,28.0,0
06A,2025-09-01,7,7,40,126.0,7.0,330
06A,2025-10-01,9,8,50,162.0,8.0,0
06A,2025-11-01,10,9,54,180.0,9.0,0
06A,2025-12-01,3,3,18,54.0,3.0,0
06A,2026-01-01,4,4,24,72.0,4.0,0
06A,2026-02-01,4,4,23,72.0,4.0,0
06A,2026-03-01,1,0,6,18.0,0.0,0
06A,2026-04-01,8,4,45,144.0,4.0,0
09A,2024-05-01,2,8,18,234.0,8.0,0
09A,2024-06-01,2,0,10,234.0,0.0,0
09A,2024-08-01,1,0,9,117.0,0.0,0
09A,2024-09-01,1,0,9,117.0,0.0,0
09A,2024-10-01,2,10,14,221.0,10.0,0
09A,2024-11-01,4,21,28,466.0,21.0,0
09A,2025-04-01,1,3,9,117.0,3.0,0
09A,2025-07-01,2,0,10,234.0,0.0,0
09A,2025-08-01,1,0,9,117.0,0.0,0
09A,2025-09-01,2,0,14,245.0,0.0,0
09A,2025-11-01,1,1,5,117.0,1.0,0
09A,2025-12-01,2,0,18,245.0,0.0,0
09A,2026-04-01,1,2,5,117.0,2.0,0
1AK,2024-09-01,1,0,5,91.0,0.0,0
1B1,2024-05-01,1,10,13,167.0,10.0,0
1B1,2024-07-01,1,3,8,623.0,3.0,0
1B1,2024-08-01,1,5,8,114.0,5.0,0
1B1,2024-09-01,1,5,8,114.0,5.0,0
1B1,2024-11-01,3,9,36,2018.0,9.0,0
1B1,2025-07-01,1,2,8,119.0,2.0,0
1B1,2025-08-01,1,2,8,114.0,2.0,0
1CT,2024-05-01,1,4,8,238.0,4.0,0
1FL,2024-08-01,1,0,0,39.0,0.0,0
1FL,2024-09-01,1,0,180,411.0,0.0,0
1FL,2025-01-01,1,0,0,1139.0,0.0,88128
1FL,2025-03-01,1,0,0,1015.0,0.0,0
1FL,2025-09-01,1,0,180,411.0,0.0,0
1FL,2025-11-01,1,0,199,411.0,0.0,0
1G4,2024-05-01,86,1055,1365,4218.0,1055.0,0
1G4,2024-06-01,80,968,1390,4012.0,968.0,0
1G4,2024-07-01,87,1074,1398,4130.0,1074.0,0
1G4,2024-08-01,107,1253,1743,5133.0,1253.0,0
1G4,2024-09-01,94,1164,1521,4935.0,1164.0,0
1G4,2024-10-01,95,1188,1448,5133.0,1188.0,0
1G4,2024-11-01,66,779,999,3540.0,779.0,0
1G4,2024-12-01,65,762,935,3835.0,762.0,0
1G4,2025-01-01,58,598,751,3363.0,598.0,0
1G4,2025-02-01,52,588,771,2832.0,588.0,0
1G4,2025-03-01,61,687,950,3422.0,687.0,0
1G4,2025-04-01,83,925,1272,4484.0,925.0,0
1G4,2025-05-01,81,916,1243,4130.0,916.0,0
1G4,2025-06-01,87,861,1215,4825.0,861.0,0
1G4,2025-07-01,74,841,1161,3835.0,841.0,0
1G4,2025-08-01,87,963,1368,4720.0,963.0,0
1G4,2025-09-01,83,820,1249,3717.0,820.0,0
1G4,2025-10-01,93,879,1266,4602.000000000001,879.0,0
1G4,2025-11-01,62,647,917,2891.0,647.0,0
1G4,2025-12-01,52,490,734,2360.0,490.0,0
1G4,2026-01-01,46,421,613,2360.0,421.0,0
1G4,2026-02-01,37,373,523,1829.0000000000005,373.0,0
1G4,2026-04-01,28,309,502,1454.0,309.0,0
